,UPC,Title,StarRating,Category,ProdType,Price_IncTax,Available,Stock,PriceCategory,Stock_Rg
19,a22124811bfa8350,Its Only the Himalayas,2,Travel,Books,45.17,In stock,19,Medium,11-20
20,23356462d1320d61,In Her Wake,1,Thriller,Books,12.84,In stock,19,Low,11-20
21,327f68a59745c102,How Music Works,2,Music,Books,37.32,In stock,19,Medium,11-20
22,5674a18a29a43ced,Foolproof Preserving A Guide to Small Batch Jams Jellies Pickles Condiments and More A Foolproof Guide to Making Small Batch Jams Jellies Pickles Condiments and More,3,Food and Drink,Books,30.52,In stock,19,Medium,11-20
23,c2e46a2ee3b4a322,Chase Me Paris Nights 2,5,Romance,Books,25.27,In stock,19,Medium,11-20
24,00bfed9e18bb36f3,Black Dust,5,Romance,Books,34.53,In stock,19,Medium,11-20
25,9528d0948525bf5f,Birdsong A Story in Pictures,3,Childrens,Books,54.64,In stock,19,High,11-20
26,c7d160c2c0de586f,Americas Cradle of Quarterbacks Western Pennsylvanias Football Factory from Johnny Unitas to Joe Montana,3,Default,Books,22.5,In stock,19,Low,11-20
27,904208d6aa64b655,Aladdin and His Wonderful Lamp,3,Default,Books,53.13,In stock,19,High,11-20
28,4c28def39d850cdf,Worlds Elsewhere Journeys Around Shakespeares Globe,5,Nonfiction,Books,40.3,In stock,18,Medium,11-20
29,ccd9ffa25efabdea,Wall and Piece,4,Art,Books,44.18,In stock,18,Medium,11-20
30,6258a1f6a6dcfe50,The Four Agreements A Practical Guide to Personal Freedom,5,Spirituality,Books,17.66,In stock,18,Low,11-20
31,3c039985229453bf,The Five Love Languages How to Express Heartfelt Commitment to Your Mate,3,Nonfiction,Books,31.05,In stock,18,Medium,11-20
32,5dada2b7be26bd03,The Elephant Tree,5,Thriller,Books,23.82,In stock,18,Low,11-20
33,9f6568e9c95f60b0,The Bear and the Piano,1,Childrens,Books,36.89,In stock,18,Medium,11-20
34,6be3beb0793a53e7,Sophies World,5,Philosophy,Books,15.94,In stock,18,Low,11-20
35,668fe56b17cfcd4f,Penny Maybe,3,Default,Books,33.29,In stock,18,Medium,11-20
36,094b269567e1c300,Maude 18831993She Grew Up with the country,2,Default,Books,18.02,In stock,18,Low,11-20
37,19ed25f4641d5efd,In a Dark Dark Wood,1,Mystery,Books,19.63,In stock,18,Low,11-20
38,be5cc846f45496fb,Behind Closed Doors,4,Thriller,Books,52.22,In stock,18,High,11-20
39,55f9da0c5eea2e10,You cant bury them all Poems,2,Poetry,Books,33.63,In stock,17,Medium,11-20
40,b4fd5943413e089a,Slow States of Collapse Poems,3,Poetry,Books,57.31,In stock,17,High,11-20
41,c8f7f0cb1abb9cac,Reasons to Stay Alive,2,Nonfiction,Books,26.41,In stock,17,Medium,11-20
42,b12b89017878a60d,Private Paris Private 10,5,Fiction,Books,47.61,In stock,17,Medium,11-20
43,c27f6e1f185b0383,HigherSelfie Wake Up Your Life Free Your Soul Find Your Tribe,5,Nonfiction,Books,23.11,In stock,17,Low,11-20
44,acddfeab2a407640,Without Borders Wanderlove 1,2,New Adult,Books,45.07,In stock,16,Medium,11-20
45,3ecb690d1542c568,When We Collided,1,Contemporary,Books,31.77,In stock,16,Medium,11-20
46,8d455c7539795d2a,We Love You Charlie Freeman,5,Fiction,Books,50.27,In stock,16,High,11-20
47,657fe5ead67a7767,Untitled Collection Sabbath Poems 2014,4,Poetry,Books,14.27,In stock,16,Low,11-20
48,d170b5a0da46380e,Unseen City The Majesty of Pigeons the Discreet Charm of Snails  Other Wonders of the Urban Wilderness,4,Nonfiction,Books,44.18,In stock,16,Medium,11-20
49,7ae099f3898e0209,Unicorn Tracks,3,Fantasy,Books,18.78,In stock,16,Low,11-20
50,9a9d6e9bc555731e,Unbound How Eight Technologies Made Us Human Transformed Society and Brought Our World to the Brink,1,History,Books,25.52,In stock,16,Medium,11-20
51,09555be379ad9253,Tsubasa WoRLD CHRoNiCLE 2 Tsubasa WoRLD CHRoNiCLE 2,1,Sequential Art,Books,16.28,In stock,16,Low,11-20
52,7858914fad68493c,Throwing Rocks at the Google Bus How Growth Became the Enemy of Prosperity,3,Nonfiction,Books,31.12,In stock,16,Medium,11-20
53,51653ef291ab7ddc,This One Summer,4,Sequential Art,Books,19.49,In stock,16,Low,11-20
54,709822d0b5bcb7f4,Thirst,5,Fiction,Books,17.27,In stock,16,Low,11-20
55,4eed62cf5f8d8edf,The Torch Is Passed A Harding Family Story,1,Add a comment,Books,19.09,In stock,16,Low,11-20
56,b5ea0b5dabed25a8,The Secret of Dreadwillow Carse,1,Childrens,Books,56.13,In stock,16,High,11-20
57,142d767a56a9254d,The Pioneer Woman Cooks Dinnertime Comfort Classics Freezer Food 16Minute Meals and Other Delicious Ways to Solve Supper,1,Food and Drink,Books,56.41,In stock,16,High,11-20
58,5ee94540d0749ea0,The Past Never Ends,4,Mystery,Books,56.5,In stock,16,High,11-20
59,cedf82b5086e4691,The Natural History of Us The Fine Art of Pretending 2,3,Young Adult,Books,45.22,In stock,16,Medium,11-20
60,7d385d34d12e60ff,The Nameless City The Nameless City 1,4,Sequential Art,Books,38.16,In stock,16,Medium,11-20
61,d01ac97e2b8947c2,The Murder That Never Was Forensic Instincts 5,3,Fiction,Books,54.11,In stock,16,High,11-20
62,aadee1c326d286e3,The Most Perfect Thing Inside and Outside a Birds Egg,4,Science,Books,42.96,In stock,16,Medium,11-20
63,31075275518532d7,The Mindfulness and Acceptance Workbook for Anxiety A Guide to Breaking Free from Anxiety Phobias and Worry Using Acceptance and Commitment Therapy,4,Add a comment,Books,23.89,In stock,16,Low,11-20
64,0da9aa9d24677fc0,The LifeChanging Magic of Tidying Up The Japanese Art of Decluttering and Organizing,3,Nonfiction,Books,16.77,In stock,16,Low,11-20
65,8c9e6bf2467d740d,The Inefficiency Assassin Time Management Tactics for Working Smarter Not Longer,5,Default,Books,20.59,In stock,16,Low,11-20
66,acd86a5426e21ca0,The Gutsy Girl Escapades for Your Life of Epic Adventure,1,Nonfiction,Books,37.13,In stock,16,Medium,11-20
67,a30b270e25489e5c,The Electric Pencil Drawings from Inside State Hospital No 3,1,Nonfiction,Books,56.06,In stock,16,High,11-20
68,bd261725b99f5983,The Death of Humanity and the Case for Life,4,Philosophy,Books,58.11,In stock,16,High,11-20
69,43c6a960757cf559,The Bulletproof Diet Lose up to a Pound a Day Reclaim Energy and Focus Upgrade Your Life,3,Health,Books,49.05,In stock,16,Medium,11-20
70,80cfab6bcff3a244,The Art Forger,3,Add a comment,Books,40.76,In stock,16,Medium,11-20
71,a3d2a4250807f1e9,The Age of Genius The Seventeenth Century and the Birth of the Modern Mind,1,History,Books,19.73,In stock,16,Low,11-20
72,7d6d2a6c0276f81b,The Activists Tao Te Ching Ancient Advice for a Modern Revolution,5,Spirituality,Books,32.24,In stock,16,Medium,11-20
73,87b0615b6e1f4d7b,Spark Joy An Illustrated Master Class on the Art of Organizing and Tidying Up,4,Nonfiction,Books,41.83,In stock,16,Medium,11-20
74,e6af5bf1163c1151,Soul Reader,2,Default,Books,39.58,In stock,16,Medium,11-20
75,6f78a0d744c35456,Security,2,Horror,Books,39.25,In stock,16,Medium,11-20
76,c849f0b2f5d6a742,Saga Volume 6 Saga Collected Editions 6,3,Fantasy,Books,25.02,In stock,16,Medium,11-20
77,53a3d11bb568cc8b,Saga Volume 5 Saga Collected Editions 5,2,Sequential Art,Books,51.04,In stock,16,High,11-20
78,d7310206583a54b6,Reskilling America Learning to Labor in the TwentyFirst Century,2,Nonfiction,Books,19.83,In stock,16,Low,11-20
79,c82a3e358c773c73,Rat Queens Vol 3 Demons Rat Queens Collected Editions 1115,3,Sequential Art,Books,50.4,In stock,16,High,11-20
80,0fa6dceead7ce47a,Princess Jellyfish 2in1 Omnibus Vol 01 Princess Jellyfish 2in1 Omnibus 1,5,Sequential Art,Books,13.61,In stock,16,Low,11-20
81,0e691eda369f4e09,Princess Between Worlds WideAwake Princess 5,5,Fantasy,Books,13.34,In stock,16,Low,11-20
82,e80f8e518b300dfe,Pop Gun War Volume 1 Gift,1,Sequential Art,Books,18.97,In stock,16,Low,11-20
83,7392c0032f92d816,Political Suicide Missteps Peccadilloes Bad Calls Backroom Hijinx Sordid Pasts Rotten Breaks and Just Plain Dumb Mistakes in the Annals of American Politics,2,History,Books,36.28,In stock,16,Medium,11-20
84,9429b4d59c537af5,Patience,3,Sequential Art,Books,10.16,In stock,16,Low,11-20
85,889139b8e9c4cb36,Outcast Vol 1 A Darkness Surrounds Him Outcast 1,4,Sequential Art,Books,15.44,In stock,16,Low,11-20
86,11809b1d323b3057,orange The Complete Collection 1 orange The Complete Collection 1,1,Sequential Art,Books,48.41,In stock,16,Medium,11-20
87,9ffa38d3b832433a,Online Marketing for Busy Authors A StepByStep Guide,1,Self Help,Books,46.35,In stock,16,Medium,11-20
88,b757c0c361e689ce,On a Midnight Clear,3,Add a comment,Books,14.07,In stock,16,Low,11-20
89,3c346ab1e76ae1f6,Obsidian Lux 1,2,Young Adult,Books,14.86,In stock,16,Low,11-20
90,784bc2279baa878d,My Paris Kitchen Recipes and Stories,2,Food and Drink,Books,33.37,In stock,16,Medium,11-20
91,fa9610a50a1bf149,Masks and Shadows,2,Fantasy,Books,56.4,In stock,16,High,11-20
92,72f9d5be3472d34e,Mama Tried Traditional Italian Cooking for the Screwed Crude Vegan and Tattooed,4,Food and Drink,Books,14.02,In stock,16,Low,11-20
93,460089f796fb3f82,Lumberjanes Vol 2 Friendship to the Max Lumberjanes 58,2,Sequential Art,Books,46.91,In stock,16,Medium,11-20
94,b6ee99bcf06fc91f,Lumberjanes Vol 1 Beware the Kitten Holy Lumberjanes 14,3,Sequential Art,Books,45.61,In stock,16,Medium,11-20
95,57e5a4d515c8ce44,Lumberjanes Vol 3 A Terrible Plan Lumberjanes 912,2,Sequential Art,Books,19.92,In stock,16,Low,11-20
96,7b75cc7f223791f4,Layered Baking Building and Styling Spectacular Cakes,1,Food and Drink,Books,40.11,In stock,16,Medium,11-20
97,228f74b74f3a08ae,Judo Seven Steps to Black Belt an Introductory Guide for Beginners,2,Add a comment,Books,53.9,In stock,16,High,11-20
98,18ad3ed896c7ce05,Join,5,Science Fiction,Books,35.67,In stock,16,Medium,11-20
99,b136b1b180ca753a,In the Country We Love My Family Divided,4,Nonfiction,Books,22.0,In stock,16,Low,11-20
100,e4f74c16de34d440,Immunity How Elie Metchnikoff Changed the Course of Modern Medicine,5,Science,Books,57.36,In stock,16,High,11-20
101,8d4eefad7a2b3915,I Hate Fairyland Vol 1 Madly Ever After I Hate Fairyland Compilations 15,2,Sequential Art,Books,29.17,In stock,16,Medium,11-20
102,1c89ae5bb804e4de,I am a Hero Omnibus Volume 1,3,Sequential Art,Books,54.63,In stock,16,High,11-20
103,a6f99b9e687f9d46,How to Be Miserable 40 Strategies You Already Use,1,Self Help,Books,46.03,In stock,16,Medium,11-20
104,2a97cffe61c3c4c7,Her Backup Boyfriend The Sorensen Family 1,1,Romance,Books,33.97,In stock,16,Medium,11-20
105,f2df3bb043a8abb0,Giant Days Vol 2 Giant Days 58,2,Sequential Art,Books,22.11,In stock,16,Low,11-20
106,9beb96a2300109d7,Forever and Forever The Courtship of Henry Longfellow and Fanny Appleton,3,Historical Fiction,Books,29.69,In stock,16,Medium,11-20
107,9e28048cea8d41f7,First and First Five Boroughs 3,4,Romance,Books,15.97,In stock,16,Low,11-20
108,7add3f8e49ec0826,Fifty Shades Darker Fifty Shades 2,1,Romance,Books,21.96,In stock,16,Low,11-20
109,311c0dd0e354a33e,Everydata The Misinformation Hidden in the Little Data You Consume Every Day,2,Nonfiction,Books,54.35,In stock,16,High,11-20
110,fce19f9b4a943f22,Dont Be a Jerk And Other Practical Advice from Dogen Japans Greatest Zen Master,2,Religion,Books,37.97,In stock,16,Medium,11-20
111,09b6cc87e62c2c58,Danganronpa Volume 1,4,Sequential Art,Books,51.99,In stock,16,High,11-20
112,7267864328ae8b9d,Crown of Midnight Throne of Glass 2,3,Fantasy,Books,43.29,In stock,16,Medium,11-20
113,8754c83ab2a7ae71,Codename Baboushka Volume 1 The Conclave of Death,4,Sequential Art,Books,36.72,In stock,16,Medium,11-20
114,7b599c8bfcdd8d30,Camp Midnight,4,Sequential Art,Books,17.08,In stock,16,Low,11-20
115,bee3672891cca906,Call the Nurse True Stories of a Country Nurse on a Scottish Isle,5,Nonfiction,Books,29.14,In stock,16,Medium,11-20
116,5ceb951f629700a2,Burning,3,Young Adult,Books,28.81,In stock,16,Medium,11-20
117,74baabfc8fd84b38,Bossypants,2,Default,Books,49.46,In stock,16,Medium,11-20
118,bdf415fd484ea8a7,Bitch Planet Vol 1 Extraordinary Machine Bitch Planet Collected Editions,2,Sequential Art,Books,37.92,In stock,16,Medium,11-20
119,6d5300b2d8f37e07,Avatar The Last Airbender Smoke and Shadow Part 3 Smoke and Shadow 3,2,Fantasy,Books,28.09,In stock,16,Medium,11-20
120,38d45839cb1c83c1,Algorithms to Live By The Computer Science of Human Decisions,1,Nonfiction,Books,30.81,In stock,16,Medium,11-20
121,70ed59f194b3c556,A World of Flavor Your Gluten Free Passport,1,Default,Books,42.95,In stock,16,Medium,11-20
122,8a380641491d43ed,A Piece of Sky a Grain of Rice A Memoir in Four Meditations,5,Default,Books,56.76,In stock,16,High,11-20
123,f733e8c19d40ec2e,A Murder in Time,1,Mystery,Books,16.64,In stock,16,Low,11-20
124,3a6fb983e2554023,A Flight of Arrows The Pathfinders 2,5,Historical Fiction,Books,55.53,In stock,16,High,11-20
125,842790dfaa937484,A Fierce and Subtle Poison,4,Young Adult,Books,28.13,In stock,16,Medium,11-20
126,01d2001ac1e6f8a3,A Court of Thorns and Roses A Court of Thorns and Roses 1,1,Fantasy,Books,52.37,In stock,16,High,11-20
127,e4ac92d89b946781,UnQualified How God Uses Broken People to Do Big Things,5,Christian,Books,54.0,In stock,16,High,11-20
128,796c87ddbbaaf8c5,You Are What You Love The Spiritual Power of Habit,4,Religion,Books,21.87,In stock,15,Low,11-20
129,9270575728a13a61,William Shakespeares Star Wars Verily A New Hope William Shakespeares Star Wars 4,4,Science Fiction,Books,43.3,In stock,15,Medium,11-20
130,b8736690cf263a3c,Tuesday Nights in 1980,2,Fiction,Books,21.04,In stock,15,Low,11-20
131,d7d6d50c1e3d0b81,Tracing Numbers on a Train,3,Default,Books,41.6,In stock,15,Medium,11-20
132,590a9cccf7db9f7d,Throne of Glass Throne of Glass 1,3,Fantasy,Books,35.07,In stock,15,Medium,11-20
133,de3f25248ba0789f,Thomas Jefferson and the Tripoli Pirates The Forgotten War That Changed American History,1,History,Books,59.64,In stock,15,High,11-20
134,bc2a85fd35fdc7bd,Thirteen Reasons Why,1,Default,Books,52.72,In stock,15,High,11-20
135,37c0cb19713d8dda,The White Cat and the Monk A Retelling of the Poem Pangur Bn,4,Childrens,Books,58.08,In stock,15,High,11-20
136,623e1a180426039b,The Wedding Dress,1,Romance,Books,24.12,In stock,15,Low,11-20
137,fd3a622648667296,The Vacationers,4,Fiction,Books,42.15,In stock,15,Medium,11-20
138,3bebf34ee9330cbd,The Third Wave An Entrepreneurs Vision of the Future,5,Business,Books,12.61,In stock,15,Low,11-20
139,f5a92cff83897d48,The Stranger,4,Philosophy,Books,17.44,In stock,15,Low,11-20
140,d6361d16212664ed,The Shadow Hero The Shadow Hero,1,Sequential Art,Books,33.14,In stock,15,Medium,11-20
141,961f18db4f138211,The Secret The Secret 1,4,Default,Books,27.37,In stock,15,Medium,11-20
142,0651062381f0636a,The Regional Office Is Under Attack,5,Fiction,Books,51.36,In stock,15,High,11-20
143,e98a4efa85070c2f,The Psychopath Test A Journey Through the Madness Industry,2,Default,Books,36.0,In stock,15,Medium,11-20
144,790ef197c8f236f5,The Project,1,Science Fiction,Books,10.65,In stock,15,Low,11-20
145,8ec14b1576cb7cb5,The Power of Now A Guide to Spiritual Enlightenment,2,Nonfiction,Books,43.54,In stock,15,Medium,11-20
146,209adad1015af86f,The Omnivores Dilemma A Natural History of Four Meals,2,Nonfiction,Books,38.21,In stock,15,Medium,11-20
147,e4c7f3487d17fd42,The Nerdy Nummies Cookbook Sweet Treats for the Geek in All of Us,5,Food and Drink,Books,37.34,In stock,15,Medium,11-20
148,c7b5183f4d1d4efe,The Murder of Roger Ackroyd Hercule Poirot 4,4,Mystery,Books,44.1,In stock,15,Medium,11-20
149,99ff4cc6491e8f5c,The Mistake OffCampus 2,3,New Adult,Books,43.29,In stock,15,Medium,11-20
150,08db62f24627e71f,The Matchmakers Playbook Wingmen Inc 1,1,New Adult,Books,55.85,In stock,15,High,11-20
151,e28e330cbdf01126,The Love and Lemons Cookbook An AppletoZucchini Celebration of Impromptu Cooking,2,Food and Drink,Books,37.6,In stock,15,Medium,11-20
152,abeafe151a587d3b,The Long Shadow of Small Ghosts Murder and Memory in an American City,1,Crime,Books,10.97,In stock,15,Low,11-20
153,eac1a180047ad54e,The Kite Runner,4,Default,Books,41.82,In stock,15,Medium,11-20
154,9287e238d7c3b06e,The House by the Lake,1,Historical Fiction,Books,36.95,In stock,15,Medium,11-20
155,2dbb7ec08cdd7f3c,The Glittering Court The Glittering Court 1,1,Fantasy,Books,44.28,In stock,15,Medium,11-20
156,e956d67c9bcc5809,The Girl on the Train,2,Default,Books,55.02,In stock,15,High,11-20
157,42d0d7c92b75fc1c,The Genius of Birds,1,Nonfiction,Books,17.24,In stock,15,Low,11-20
158,d6670dfe3e7b42bd,The Emerald Mystery,2,Default,Books,23.15,In stock,15,Low,11-20
159,96a38e7c813d8f1d,The Cookies  Cups Cookbook 125 sweet  savory recipes reminding you to Always Eat Dessert First,1,Food and Drink,Books,41.25,In stock,15,Medium,11-20
160,efc3768127714ec3,The Bridge to Consciousness Im Writing the Bridge Between Science and Our Old and New Beliefs,3,Default,Books,32.0,In stock,15,Medium,11-20
161,dd047728de72ad62,The Artists Way A Spiritual Path to Higher Creativity,5,Nonfiction,Books,38.49,In stock,15,Medium,11-20
162,e7469e22b5bfb3e7,The Art of War,5,Default,Books,33.34,In stock,15,Medium,11-20
163,c99761a700ade23f,The Argonauts,2,Autobiography,Books,10.93,In stock,15,Low,11-20
164,56e4f9eab2e8e674,The 10 Entrepreneur Live Your Startup Dream Without Quitting Your Day Job,3,Business,Books,27.55,In stock,15,Medium,11-20
165,203b7f94b7d6115f,Suddenly in Love Lake Haven 1,2,Romance,Books,55.99,In stock,15,High,11-20
166,ca71e72655bece85,Something More Than This,4,Romance,Books,16.24,In stock,15,Low,11-20
167,2a70769cdc6eb8b8,Soft Apocalypse,2,Science Fiction,Books,26.12,In stock,15,Medium,11-20
168,1b33663ad7b95fd8,So Youve Been Publicly Shamed,2,Nonfiction,Books,12.23,In stock,15,Low,11-20
169,0e0dcc3339602b28,Shoe Dog A Memoir by the Creator of NIKE,2,Business,Books,23.99,In stock,15,Low,11-20
170,0c27e6c3744fc14b,Shobu Samurai Project Aryoku 3,3,Add a comment,Books,29.06,In stock,15,Medium,11-20
171,ad04ad9fc179fc5d,Secrets and Lace Fatal Hearts 1,1,Default,Books,20.27,In stock,15,Low,11-20
172,1c929cfd16b71907,Scarlett Epstein Hates It Here,5,Young Adult,Books,43.55,In stock,15,Medium,11-20
173,e656e280bc8edd56,Romero and Juliet A Tragic Tale of Love and Zombies,1,Default,Books,36.94,In stock,15,Medium,11-20
174,b53db2271c9624f7,Redeeming Love,5,Christian Fiction,Books,20.47,In stock,15,Low,11-20
175,d9c643fa1fc57bdb,Poses for Artists Volume 1  Dynamic and Sitting Poses An Essential Reference for Figure Drawing and the Human Form,1,Default,Books,41.06,In stock,15,Medium,11-20
176,31001a1210623bd4,Poems That Make Grown Women Cry,4,Poetry,Books,14.19,In stock,15,Low,11-20
177,50b8f80311b31ede,Nightingale Sing,1,Young Adult,Books,38.28,In stock,15,Medium,11-20
178,cfeb1e1e0e695b58,Night Sky with Exit Wounds,1,Poetry,Books,41.05,In stock,15,Medium,11-20
179,a40723994f715420,Mrs Houdini,5,Historical Fiction,Books,30.25,In stock,15,Medium,11-20
180,caf4fe9311f1dc59,Modern Romance,5,Add a comment,Books,28.26,In stock,15,Medium,11-20
181,af96613fdd793a3c,Miss Peregrines Home for Peculiar Children Miss Peregrines Peculiar Children 1,1,Default,Books,10.76,In stock,15,Low,11-20
182,d69dd8dac66f9f84,Louisa The Extraordinary Life of Mrs Adams,2,Biography,Books,16.85,In stock,15,Low,11-20
183,4aa03792b50f0b22,Little Red,3,Childrens,Books,13.47,In stock,15,Low,11-20
184,ba54932df84e8cea,Library of Souls Miss Peregrines Peculiar Children 3,5,Young Adult,Books,48.56,In stock,15,Medium,11-20
185,c1afd71fc86bf682,Large Print Heart of the Pride,2,Default,Books,19.15,In stock,15,Low,11-20
186,fd8585283fc7d2d7,I Had a Nice Time And Other Lies How to find love  sht like that,4,Womens Fiction,Books,57.36,In stock,15,High,11-20
187,4ce91d31c1e57c33,Hollow City Miss Peregrines Peculiar Children 2,1,Fantasy,Books,42.98,In stock,15,Medium,11-20
188,d163dd6c352fbcd2,Grumbles,2,Default,Books,22.16,In stock,15,Low,11-20
189,ce60436f52c5ee68,Full Moon over Noahs Ark An Odyssey to Mount Ararat and Beyond,4,Travel,Books,49.43,In stock,15,Medium,11-20
190,116a2fdc9a45bab0,Frostbite Vampire Academy 2,5,Young Adult,Books,29.99,In stock,15,Medium,11-20
191,8585760646e3aa2a,Follow You Home,1,Horror,Books,21.36,In stock,15,Low,11-20
192,2f88b08bf0a0e367,First Steps for New Christians Print Edition,1,Default,Books,29.0,In stock,15,Medium,11-20
193,edb3097e71330040,Finders Keepers Bill Hodges Trilogy 2,5,Fiction,Books,53.53,In stock,15,High,11-20
194,65d034adf80834b7,Fables Vol 1 Legends in Exile Fables 1,4,Sequential Art,Books,41.62,In stock,15,Medium,11-20
195,29c0025455f8c585,Eureka Trivia 60,4,Default,Books,54.59,In stock,15,High,11-20
196,6ffb36aaeff1c81e,Drive The Surprising Truth About What Motivates Us,4,Default,Books,34.95,In stock,15,Medium,11-20
197,f6d967cdadc6fbd9,Done Rubbed Out Reightman  Bailey 1,5,Default,Books,37.72,In stock,15,Medium,11-20
198,3a11bb962ff45b78,Doing It Over Most Likely To 1,3,Romance,Books,35.61,In stock,15,Medium,11-20
199,46c1530d7546ea6d,Deliciously Ella Every Day Quick and Easy Recipes for GlutenFree Snacks Packed Lunches and Simple Meals,3,Food and Drink,Books,42.16,In stock,15,Medium,11-20
200,88c21fcd38e2486e,Dark Notes,5,Erotica,Books,19.19,In stock,15,Low,11-20
201,3b9a3b4624b7fd6d,Daring Greatly How the Courage to Be Vulnerable Transforms the Way We Live Love Parent and Lead,3,Nonfiction,Books,19.43,In stock,15,Low,11-20
202,a57b1dcbd6849222,Close to You,4,Christian Fiction,Books,49.46,In stock,15,Medium,11-20
203,513271dadc1322ae,Chasing Heaven What Dying Taught Me About Living,2,Spirituality,Books,37.8,In stock,15,Medium,11-20
204,1f329c2e7d7de8bd,Big Magic Creative Living Beyond Fear,3,Nonfiction,Books,30.8,In stock,15,Medium,11-20
205,919e7cb2269a25d2,Becoming Wise An Inquiry into the Mystery and Art of Living,2,Nonfiction,Books,27.43,In stock,15,Medium,11-20
206,3f69e667a67e54d9,Beauty Restored Riley Family Legacy Novellas 3,2,Default,Books,11.11,In stock,15,Low,11-20
207,7edc0527cf782e19,Batman The Long Halloween Batman,2,Sequential Art,Books,36.5,In stock,15,Medium,11-20
208,47271d8e08b5d31c,Batman The Dark Knight Returns Batman,5,Sequential Art,Books,15.38,In stock,15,Low,11-20
209,05f7c6d9a4e582d3,Ayumis Violin,2,Default,Books,15.48,In stock,15,Low,11-20
210,d24b829be2ca81c4,Anonymous,4,Default,Books,46.82,In stock,15,Medium,11-20
211,7ebfa6c1bee69e1e,Amy Meets the Saints and Sages,3,Default,Books,18.46,In stock,15,Low,11-20
212,bb8245f52c7cce8f,Amid the Chaos,1,Cultural,Books,36.58,In stock,15,Medium,11-20
213,ffd54178acc9a6a5,Amatus,5,Default,Books,50.54,In stock,15,High,11-20
214,d195e7f4ed697350,Agnostic A Spirited Manifesto,5,Nonfiction,Books,12.51,In stock,15,Low,11-20
215,dd5bfa6cc2c0ecc3,Zealot The Life and Times of Jesus of Nazareth,3,History,Books,24.7,In stock,14,Low,11-20
216,024387ca4cafd5cc,You You 1,5,Thriller,Books,43.61,In stock,14,Medium,11-20
217,047097293bb4d1c0,Wonder Woman Earth One Volume One Wonder Woman Earth One 1,4,Sequential Art,Books,37.34,In stock,14,Medium,11-20
218,3fb15ace50d6142b,Wild Swans,2,Young Adult,Books,14.36,In stock,14,Low,11-20
219,2b5054a4192e9b06,Why the Right Went Wrong ConservatismFrom Goldwater to the Tea Party and Beyond,4,Politics,Books,52.65,In stock,14,High,11-20
220,44a10f1ac8ce822e,Whole Lotta Creativity Going On 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,4,Nonfiction,Books,38.2,In stock,14,Medium,11-20
221,6fd646a334e6e133,Whats It Like in Space Stories from Astronauts Whove Been There,2,Nonfiction,Books,19.6,In stock,14,Low,11-20
222,92275cedf6d8ee15,We Are Robin Vol 1 The Vigilante Business We Are Robin 1,1,Sequential Art,Books,53.9,In stock,14,High,11-20
223,6a31307a81e8f3a8,Walt Disneys Alice in Wonderland,5,Childrens,Books,12.96,In stock,14,Low,11-20
224,4a1debca3135ff37,V for Vendetta V for Vendetta Complete,4,Default,Books,37.1,In stock,14,Medium,11-20
225,aba2db9afb1469c7,Until Friday Night The Field Party 1,2,Young Adult,Books,46.31,In stock,14,Medium,11-20
